Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Total Households,Total Owner Occupied,% Owner Occupied
77060,44549.0,26.7,28948.0,12253.0,36.842577835641656,44544.0,12435.0,27.916217672413797
77061,26276.0,30.2,39180.0,18680.0,21.780331861775004,26276.0,10356.0,39.41239153600243
77062,26583.0,38.5,88433.0,41094.0,8.05778128879359,26583.0,20090.0,75.57461535567845
77063,38931.0,31.9,44957.0,32805.0,22.82499807351468,38751.0,9667.0,24.946452994761426
77064,49578.0,34.7,67763.0,28699.0,12.098108031788293,48991.0,30827.0,62.92380233104039
77065,38820.0,33.9,54688.0,29363.0,10.95311695002576,38820.0,21132.0,54.435857805255026
77066,33796.0,33.9,61430.0,24354.0,12.223340040241448,33788.0,24273.0,71.83911447851308
77067,33489.0,29.0,40138.0,17030.0,24.682731643226134,33433.0,15032.0,44.96156492088655
77068,10897.0,39.9,80313.0,37718.0,8.121501330641461,10867.0,6934.0,63.80785865464249
77069,18238.0,43.5,64313.0,44570.0,5.581752385129948,18238.0,10131.0,55.54885404101327
77070,51080.0,34.4,69038.0,35281.0,11.671887235708692,50902.0,27900.0,54.81120584652862
77071,27981.0,36.2,49137.0,25669.0,15.64990529287731,27911.0,16572.0,59.37444018487334
77072,62162.0,32.7,41041.0,16087.0,24.551977092114154,61986.0,29795.0,48.06730552060143
77073,42780.0,28.6,54079.0,19722.0,14.845722300140253,42780.0,25218.0,58.948106591865354
77074,39915.0,30.8,36593.0,16866.0,30.938243768007016,38691.0,11636.0,30.074177457289807
77075,43586.0,29.3,50653.0,18932.0,18.517413848483457,43586.0,25752.0,59.08319185059423
77076,35144.0,27.6,34842.0,12474.0,33.55053494195311,34984.0,17541.0,50.140064029270526
77077,57757.0,34.8,66587.0,46967.0,10.369305885000951,57676.0,23140.0,40.120674110548585
77078,15820.0,31.9,35770.0,14480.0,21.89001264222503,15727.0,9249.0,58.809690341451
77079,33577.0,39.5,98774.0,56154.0,7.981654108467105,33571.0,21276.0,63.37612820589199
77080,45665.0,32.3,44386.0,21751.0,24.9381364283368,45454.0,16949.0,37.28824745896951
