case number,sr location,county,district,neighborhood,tax id,trash quad,recycle quad,trash day,heavy trash day,recycle day,key map,management district,department,division,sr type,queue,sla,status,sr create date,due date,date closed,overdue,title,latitude,longitude,channel type,date,year,month,zipcode,daystoclose,daysdue,missedduedate
12254756-101003046672,Intersection 3758 NORFOLK ST&3800 TIMMONS LN,Harris County,C,GREENWAY / UPPER KIRBY AREA,NULL,,,,,,492W,,PWE Public Works Engineering,PU Public Utilities,Sewer Wastewater,PU_WasteWater,1,Closed,2018-05-29 15:44:42,2018-05-30 15:40:00,2018-05-29 17:30:04,-0.92,Sewer Wastewater-101003046672,29.73081199,-95.4363861,Voice In,2018-05-29,2018,05,,0.07317129629629629,0.9967361111111112,0
12269782-101003106477,Intersection 3758 NORFOLK ST&3800 TIMMONS LN,Harris County,C,GREENWAY / UPPER KIRBY AREA,NULL,,,,,,492W,,PWE Public Works Engineering,PU Public Utilities,Water Leak,PU_Water,10,Closed,2018-07-16 11:54:03,2018-07-26 11:54:03,2018-07-21 23:50:08,-4.50,Water Leak,29.73081199,-95.4363861,WEB,2018-07-16,2018,07,,5.497280092592592,10.0,0
12318651-101003298622,Intersection 3758 NORFOLK ST&3800 TIMMONS LN,Harris County,C,GREENWAY / UPPER KIRBY AREA,NULL,,,,,,492W,,PWE Public Works Engineering,Street and Drainage,Street Condition,ROWM_StreetMain,30,Closed,2018-12-14 21:00:48,2019-01-13 21:00:48,2018-12-17 10:24:20,-27.44,Street Condition-101003298622,29.73081199,-95.4363861,Voice In,2018-12-14,2018,12,,2.558009259259259,30.0,0
12368716-101003480912,Intersection 3758 NORFOLK ST&3800 TIMMONS LN,Harris County,C,GREENWAY / UPPER KIRBY AREA,NULL,,,,,,492W,,PWE Public Works Engineering,PU Public Utilities,Water Leak,PU_Water,10,Closed,2019-05-08 16:42:17,2019-05-18 16:42:17,2019-05-08 20:14:57,-9.85,Water Leak-101003480912,29.73081199,-95.4363861,Voice In,2019-05-08,2019,05,,0.1476851851851852,10.0,0
